,제목,가수,가사,장르
0,I AM,IVE (아이브),"다른 문을 열어 따라 갈 필요는 없어
넌 너의 길로 난 나의 길로 음
하루하루마다 색이 달라진 느낌
밝게 빛이 나는 길을 찾아
I’m on my way 넌 그냥 믿으면 돼
I’m on my way 보이는 그대로야
너는 누군가의 Dreams come true
제일 좋은 어느 날의 데자뷰
머물고픈 어딘가의 낯선 뷰
I’ll be far away
That’s my
Life is 아름다운 갤럭시
Be a writer, 장르로는 판타지
내일 내게 열리는 건 big big 스테이지
So that is who I am
Look at me
Look at me
Look at me
now
어제랑 또 다른 짜릿한 나
두려운 모든 게 설레이게
I’m in sky high, OMG
사소한 건 다 아득해져 와
Look at me now
Look at me now
I’m on fire
I’m on my way 넌 그냥 믿으면 돼
I’m on my way 보이는 그대로야
너는 누군가의 Dreams come true
제일 좋은 어느 날의 데자뷰
머물고픈 어딘가의 낯선 뷰
I’ll be far away
That’s my
Life is 아름다운 갤럭시
Be a writer, 장르로는 판타지
내일 내게 열리는 건 big big 스테이지
So that is who I am
어느 깊은 밤 길을 잃어도
차라리 날아올라 그럼 네가
지나가는 대로 길이거든
1, 2, 3
1, 2, 3
1, 2, 3
Fly up
I hope you’d be someone’s
dreams come true
제일 좋은 어느 날의 데자뷰
머물고픈 어딘가의 낯선 뷰
I’ll be far away
That’s my
Life is 아름다운 갤럭시
Be a writer, 장르로는 판타지
내일 내게 열리는 건 big big 스테이지
So that is who I am",댄스
1,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),"Unforgiven I’m a villain I’m a
Unforgiven 난 그 길을 걸어
Unforgiven I’m a villain I’m a
새 시대로 기억될 unforgiven
Yeah what you want?
불편함이 깃든 face, wanna shut me up
사냥감을 거듭해 찾는 워리어S
너의 game에 난 문제아
such a freak 골칫거리
Let me tell you ‘bout LE SSERAFIM
내가 제일 싫은 건 낡은 대물림
어둠 속 불을 켜 마치 rebellion
We gonna kick it break it
rules gon’ give up
Unforgiven yes I was bleeding
힘없이 늘 져야만 했던 싸움 but I ride
바란 적도 없어 용서 따위는
난 금기를 겨눠 watch me now
Now now now
Unforgiven I’m a villain I’m a
Unforgiven 난 그 길을 걸어
Unforgiven I’m a villain I’m a
새 시대로 기억될 unforgiven
나랑 저 너머 같이 가자
my “unforgiven girls”
나랑 선 넘어 같이 가자
my “unforgiven boys”
Unforgiven unforgiven unforgiven
한계 위로 남겨지는 우리 이름
나랑 저 너머 같이 가자
my “unforgiven girls”
U-unforgiven-given-given
내 style로 livin’ livin’ livin’
내 방식 아주 원 없이
또 한국말론 아주 “철없이”
Get started let’s get started
미래 그 앞에 새겨둬 나의 story
신념이 죄면 난 villain,
I'm not that cinderella type of a girl
Unforgiven yes I was bleeding
힘없이 늘 져야만 했던 싸움 but I ride
바란 적도 없어 용서 따위는
난 금기를 겨눠 watch me now
Now now now
Unforgiven I’m a villain I’m a
Unforgiven 난 그 길을 걸어
Unforgiven I’m a villain I’m a
새 시대로 기억될 unforgiven
나랑 저 너머 같이 가자
my “unforgiven girls”
나랑 선 넘어 같이 가자
my “unforgiven boys”
Unforgiven unforgiven unforgiven
한계 위로 남겨지는 우리 이름
나랑 저 너머 같이 가자
my “unforgiven girls”
Unforgiven I’m a villain I’m a
Unforgiven 난 그 길을 걸어
Unforgiven I’m a villain I’m a
Unforgiven 난 그 길을 걸어
Oh I will never be a clown
Oh 보게 될 거야 나다움
Oh 내 목소린 좀 loud
Oh I don’t care just shout it out!
나랑 저 너머 같이 가자
my “unforgiven girls”
나랑 선 넘어 같이 가자
my “unforgiven boys”
Unforgiven unforgiven unforgiven
한계 위로 남겨지는 우리 이름
나랑 저 너머 같이 가자
my “unforgiven girls”",댄스
2,Spicy,aespa,"Uh Uh Too Spicy
You want my A to the Z
But you won’t 어림없지
맞혀봐 Sweet 또는 Freak
What’s hiding underneath
(I see)
망설이듯 간 보는 너
기회는 없어 Oh
Nah You won’t get it
No No, You won’t get it
I say
깜빡 한순간
끌어당겨
You’ll be mine (Mine)
살짝 다가와
Can cross my borderline
(Line Line Line)
널 따분하게 했던 Every day
흥미로운 덫을 던져줄게
뛰어들어 봐
Just right now
'Cause I’m too Spicy
for your heart
Ring the fire alarm
심장을 파고들어 넌
I'm too Spicy
번지는 자극 속에 넌
바로 그 순간
또 다른 나를 발견해
I’m too Spicy too too
I’m too Spicy
Don’t Stop 겁내지 마
Bang Bang 외쳐봐
I’m too Spicy
Yeah I’m too Spicy
You know that I
Don’t Stop 용기 내 봐
Next step, Myself
I’m too Spicy
Too Spicy too too
I’m too Spicy
Tell me what you see
When you look at me
'Cause I am a 10
out of 10 honestly
기세가 다른 Move
널 압도하는 Groove
But you keep wasting
your time Dude
Don't chase me
경고해 난
Erase me
멀리 달아나
Hey 이젠 알겠니
원래부터 Bad I’m so bad honestly
So bad
전부 가질래
지금부턴
Call you mine (Mine)
도망칠 거면
Don’t cross my borderline
(Line Line Line)
늘 뻔하기만 했던 Every day
이제 그만 Rule을 벗어날 때
어렵지 않아
Just right now
'Cause I’m too Spicy
for your heart
Ring the fire alarm
심장을 파고들어 넌
I'm too Spicy
번지는 자극 속에 넌
바로 그 순간
또 다른 나를 발견해
I’m too Spicy too too
I’m too Spicy
Ready? Uh
좀 더 강도를 높여
다음다음다음
One of a kind
우린 한계를 앞서
Wow Wow Wow
That’s Right
'Cause I’m too Spicy
for your heart
Ring the fire alarm
새로운 도전 끝에 넌
I'm too Spicy
변화할 시간이야 넌
지금 이 순간
또 다른 나를 찾아내
I’m too Spicy too too
I’m too Spicy
Don’t Stop 겁내지 마
Bang Bang 외쳐봐
I’m too Spicy
Yeah I’m too Spicy
You know that I
Don’t Stop 용기 내 봐
Next step, Myself
I’m too Spicy
I’m too Spicy
I’m too Spicy too too
I’m too Spicy
'Cause I
Oh Yeah
Yeah I’m too Spicy
for your heart
(Yeah I’m too Spicy
for your heart)
마침내 번져오는 Joy
(Enjoy joy joy joy)
Yeah I’m too Spicy
for your heart
I’m too Spicy too too
I’m too Spicy
For you",댄스
3,Kitsch,IVE (아이브),"It's our time 우린 달라 특별한 게 좋아
Oh What a good time
난 잘 살아 내 걱정은 낭비야
네가 보낸 DM을 읽고 나서 답이 없는 게
내 답이야 (That’s my style)
OOTD 하나까지 완전 우리답지
My favorite things 그런 것 들엔 좀
점수를 매기지 마
난 생겨 먹은 대로 사는 애야, 뭘 더 바래
That’s my style (That’s my style)
우리만의 자유로운 nineteen’s kitsch
지금까지 한적 없는 custom fit
올려 대는 나의 feed엔 like it
홀린 듯이 눌러 모두 다 like it
내가 추는 춤을 다들 따라 춰
매일 너의 알고리즘에 난 떠
걷잡을 수 없이 올라 미친 score
그 누구도 예상 못할 nineteen’s kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
nineteen’s kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
nineteen’s kitsch
kitsch kitsch kitsch kitsch
kitsch kitsch kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
달콤한 말, 뒤에 숨긴 너의 의도대로
따라가진 않을 거야 난 똑똑하니까
난 절대 끌리지 않는 것에 끌려가지 않아
That’s my style (That’s my style)
우리만의 자유로운 nineteen’s kitsch
지금까지 한적 없는 custom fit
올려 대는 나의 feed엔 like it
홀린 듯이 눌러 모두 다 like it
내가 추는 춤을 다들 따라 춰
매일 너의 알고리즘에 난 떠
걷잡을 수 없이 올라 미친 score
그 누구도 예상 못할 nineteen’s kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
nineteen’s kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
nineteen’s kitsch
kitsch kitsch kitsch kitsch
kitsch kitsch kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
Yah 모두 주목해
내가 좋아하는 것만 하면 뭐 어때 huh
This ain’t ur life
쓸데없는 생각 따위 Go away
답답한 이 세상 앞엔 멋대로 할래
YOLO! Say no! 너의 길을 가 now
잔소리는 Quite down
이제 그만 Peace out
우리만의 자유로운 nineteen’s kitsch
지금까지 한적 없는 custom fit
올려 대는 나의 feed엔 like it
홀린 듯이 눌러 모두 다 like it
내가 추는 춤을 다들 따라 춰
매일 너의 알고리즘에 난 떠
걷잡을 수 없이 올라 미친 score
그 누구도 예상 못할 nineteen’s kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
nineteen’s kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
nineteen’s kitsch
kitsch kitsch kitsch kitsch
kitsch kitsch kitsch
우리만의 자유로운 nineteen’s kitsch
우리-우리만의 자유로운
nineteen’s kitsch",댄스
4,퀸카 (Queencard),(여자)아이들,"Hey you
뭘 보니? 내가 좀 Sexy Sexy 반했니
Ye you
뭐 하니? 너도 내 Kiss Kiss 원하니
월 화 수 목 금 토 일 미모가 쉬지를 않네
머리부터 발끝까지 눈부셔 빛이 나네
Oh 저기 언니야들 내 Fashion을 따라 하네
아름다운 여자의 하루는 다 아름답네
이 Party에 준비된 Birthday cake
태어나서 감사해 Every day
I don’t need them
그래 내가 봐도 난
퀸카 I’m hot
My boob and booty is hot
Spotlight 날 봐
I’m a star star star
퀸카 I’m the top
I’m twerking on the runway
I am a 퀸카
You wanna be the 퀸카
I’m a 퀸카
I’m a 퀸카
I’m a I’m a I’m a 퀸카
I’m a 퀸카 (Take a photo)
I’m a 퀸카
I’m a 퀸카
I’m a I’m a I’m a 퀸카
I’m a 퀸카
Look so cool look so sexy
like Kim Kardashian
Look so cute look so pretty like Ariana
I wanna with you 뽀뽀
I wanna with you 포옹
자꾸 예뻐져 거울 속 너어~
이 Party에 준비된 (Blue) Champagne
태어난 걸 축하해 Every day
I don’t need them
그래 내가 봐도 난
퀸카 I’m hot
My boob and booty is hot
Spotlight 날 봐
I’m a star star star
퀸카 I’m the top
I’m twerking on the runway
I am a 퀸카
You wanna be the 퀸카
I’m a 퀸카
I’m a 퀸카
I’m a I’m a I’m a 퀸카
I’m a 퀸카 (Take a photo)
I’m a 퀸카
I’m a 퀸카
I’m a I’m a I’m a 퀸카
I’m a 퀸카
아무거나 걸친 Girl 퀸카카카
마르거나 살찐 Girl 퀸카카카
자신감 넘치는 Girl 퀸카카카
I am a 퀸카
You wanna be the 퀸카",댄스
5,손오공,세븐틴 (SEVENTEEN),"땅을 보고 계속 올랐지 정상까지
많은 시련은 보란 듯이 I Always Win
강한 마음이 중요하지
미래는 도망가지 않아 내가 놓기 전까지
DARUMDARIMDA
구름을 타고 여기저기로 (Hey)
DARUMDARIMDA
우리들의 긍지를 높이러 (Hey)
DARUMDARIMDA
또 다른 세계 나아가자 Go
이 Rhythm에 맞춰
Say Say Say Say
영웅본색 Like This
시간과 공간에 구애받지 않는 자세
힘을 다하고 쓰러져도
포기를 모르고 날뛰는 중
마치 된 것 같아 손오공
마치 된 것 같아 손오공
우리는 쉬지 않아 매일,
Make it Make it
끝까지 가보자
마치 된 것 같아 손오공
I Luv My Team I Luv My Crew
여기까지 달리면서
I Luv My Team I Luv My Crew
계속 달릴 수 있어 더
I Luv My Team I Luv My Crew
여기까지 오르면서
I Luv My Team 그 덕분에 우린
마치 된 것 같아 손오공
알리지 우리는 등장 중
여전히 세대를 뒤바꿈
멈추지 않아 뜀박 중
발이 꼬여도 뒷박 쿵
WOO WOO Pull Up My 근두운
WOO WOO 성실히 수행 중
DARUMDARIMDA
늘어나라 하늘로 여의봉 (Hey)
DARUMDARIMDA
우리들의 매일은 Come & Go (Hey)
DARUMDARIMDA
모든 걸 위해 나아가자 Go
이 노래에 맞춰
Say Say Say Say
영웅본색 Like This
시간과 공간에 구애받지 않는 자세
힘을 다하고 쓰러져도
포기를 모르고 날뛰는 중
마치 된 것 같아 손오공
마치 된 것 같아 손오공
우리는 쉬지 않아 매일,
Make it Make it
끝까지 가보자
마치 된 것 같아 손오공
I Luv My Team I Luv My Crew
여기까지 달리면서
I Luv My Team I Luv My Crew
계속 달릴 수 있어 더
I Luv My Team I Luv My Crew
여기까지 오르면서
I Luv My Team 그 덕분에 우린
마치 된 것 같아 손오공
진실은 때론 잔혹해 (What’s That?)
거짓은 때론 달콤해 (What’s That?)
다정함은 때론 거짓말로 (What’s That?)
나쁜 것 싹 다 모아둬
Ping 하고 불 나와
Ener Energy 기 모아 아주 다 나와
Ener Energy 한방에 아주 발사 파
지금부터 다 하늘 위로 함성 발사
이 노래는 이 만화의 엔딩송이다",댄스
6,꽃,지수 (JISOO),"ABC 도레미만큼 착했던 나
그 눈빛이 싹 변했지
어쩌면 이 또한 나니까
난 파란 나비처럼 날아가
잡지 못한 건 다 네 몫이니까
활짝 꽃피웠던 시간도 이제 모두
내겐 lie lie lie
붉게 타버려진 너와 나
난 괜찮아 넌 괜찮을까
구름 한 점 없이 예쁜 날
꽃향기만 남기고 갔단다
꽃향기만 남기고 갔단다
You and me, 미칠 듯이 뜨거웠지만
처참하게 짓밟혀진 내 하나뿐인 라일락
난 하얀 꽃잎처럼 날아가
잡지 않은 것은 너니까
살랑살랑 부는 바람에 이끌려
봄은 오지만 우린 bye bye bye
붉게 타버려진 너와 나
난 괜찮아 넌 괜찮을까
구름 한 점 없이 예쁜 날
꽃향기만 남기고 갔단다
꽃향기만 남기고 갔단다
이젠 안녕 goodbye
뒤는 절대 안 봐
미련이란 이름의 잎새 하나
봄비에 너에게서 떨어져
꽃향기만 남아
꽃향기만 남기고 갔단다",댄스
7,Ditto,NewJeans,"Woo woo woo woo ooh
Woo woo woo woo
Stay in the middle
Like you a little
Don’t want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
훌쩍 커버렸어
함께한 기억처럼
널 보는 내 마음은
어느새 여름 지나 가을
기다렸지 all this time
Do you want somebody
Like I want somebody
날 보고 웃었지만
Do you think about me now yeah
All the time yeah
All the time
I got no time to lose
내 길었던 하루
난 보고 싶어
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
I got nothing to lose
널 좋아한다고
wooah wooah wooah
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
But I don't want to
Stay in the middle
Like you a little
Don’t want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
I don't want to
Walk in this 미로
다 아는 건 아니어도
바라던 대로
말해줘 Say it back
Oh say it ditto
I want you so, want you
So say it ditto
Not just anybody
너를 상상했지
항상 닿아있던
처음 느낌 그대로 난
기다렸지 all this time
I got nothing to lose
널 좋아한다고
wooah wooah wooah
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
But I don't want to
Stay in the middle
Like you a little
Don’t want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
I don't want to
Walk in this 미로
다 아는 건 아니어도
바라던 대로
말해줘 Say it back
Oh say it ditto
I want you so, want you
So say it ditto
Woo woo woo woo ooh
Woo woo woo woo",댄스
8,Hype boy,NewJeans,"(1,2,3,4)
Baby, got me looking so crazy
빠져버리는 daydream
Got me feeling you
너도 말해줄래

누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one

날 믿어봐 한번
I’m not looking for just fun
Maybe I could be the one

Oh baby
예민하대 나 lately
너 없이는 매일 매일이 yeah
재미없어 어쩌지

I just want you
Call my phone right now
I just wanna hear you’re mine

‘Cause I know what you like boy
You’re my chemical hype boy
내 지난날들은
눈 뜨면 잊는 꿈
Hype boy 너만 원해
Hype boy 내가 전해

And we can go high
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

눈을 감아
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

잠에 들려고 잠에 들려 해도
네 생각에 또 새벽 세 시 uh-oh
알려줄 거야 they can’t have you no more
봐봐 여기 내 이름 써있다고
누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one

날 믿어봐 한번
I’m not looking for just fun
Maybe I could be the one

Oh baby
예민하대 나 lately
너 없이는 매일 매일이 yeah
재미없어 어쩌지

I just want you
Call my phone right now
I just wanna hear you’re mine

‘Cause I know what you like boy
You’re my chemical hype boy
내 지난날들은
눈 뜨면 잊는 꿈
Hype boy 너만 원해
Hype boy 내가 전해

And we can go high
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy

눈을 감아
말해봐 yeah
느껴봐 mm mm
Take him to the sky
You know I hype you boy",댄스
9,물론,허각,"가진 게 그리 많진 않아
어쩌면 많이 부족할지 몰라
가끔 나와 다투기도 하겠지만
주위를 둘러보면 네게
나보다 좋은 사람 많겠지만
널 사랑하는 맘
나 그것만큼은 자신 있는 걸
내리는 비를 막아 줄 수는 없지만
비가 오면 항상 함께 맞아 줄게
힘든 일이 있어도 기쁜 일이 있어도
함께 할게
물론 모든 걸 다 줄 수는 없지만
작은 행복에 미소 짓게 해 줄게
무슨 일이 있어도
너의 편이 돼줄게 언제까지나
세상이 그리 쉽지 않아
몇 번씩 넘어지곤 할지 몰라
꼭 잡은 두 손만 놓치지 않고선
함께 가면 돼
내리는 비를 막아 줄 수는 없지만
비가 오면 항상 함께 맞아 줄게
힘든 일이 있어도 기쁜 일이 있어도
함께 할게
물론 모든 걸 다 줄 수는 없지만
작은 행복에 미소 짓게 해 줄게
무슨 일이 있어도
너의 편이 돼줄게 언제까지나",발라드
